Ano;Total;15-29;Nneg;Neg
1979;11217;5218;NaN;NaN
1980;13911;6759;NaN;NaN
1981;15216;7379;NaN;NaN
1982;15554;7267;NaN;NaN
1983;17410;8273;NaN;NaN
1984;19768;9737;NaN;NaN
1985;19748;10069;NaN;NaN
1986;20483;10528;NaN;NaN
1987;23100;11788;NaN;NaN
1988;23370;11784;NaN;NaN
1989;28767;15049;NaN;NaN
1990;32015;16742;NaN;NaN
1991;30752;15622;NaN;NaN
1992;28555;14200;NaN;NaN
1993;30618;15417;NaN;NaN
1994;32631;16994;NaN;NaN
1995;37152;18924;NaN;NaN
1996;38929;19767;NaN;NaN
1997;40531;21098;NaN;NaN
1998;41974;22524;NaN;NaN
1999;42947;23072;NaN;NaN
2000;45433;25105;16460;21895
2001;48032;26361;17198;23657
2002;49816;27757;17322;25246
2003;51534;28877;17515;26753
2004;48909;27457;15819;26191
2005;48136;26793;14422;26837
2006;49704;27251;14511;28131
2007;48219;26489;13149;28468
2008;50659;27880;13469;30436
2009;52043;28267;13607;31497
2010;53016;28562;12830;32855
2011;52807;27930;12719;32885
2012;57045;30609;13227;35825
2013;57396;30689;12867;36265
2014;60474;32436;13496;38938
2015;59080;31264;12855;38680
2016;62517;33590;13354;42354
2017;65602;35783;13187;46217
;;;;
